image nr;Description;Food classification;Complexity (amount, number of items);Natural vs transformed;Sweet vs savory;State of food;Food vs nonfood;FPC;S;P;C;E;H;SS;AN;CRjpeg;CRgif;FC;SE;NPO;MIGh;MIGs;MIGv;MGS;NC;CF;R;G;B;Average_Valence_ALL;St_dev_Valence_ALL;Average_Valence_UK;St_dev_Valence_UK;Average_Valence_US;St_dev_Valence_US;Average_Valence_JP;St_dev_Valence_JP;Average_Arousal_ALL;St_dev_Arousal_ALL;Average_Arousal_UK;St_dev_Arousal_UK;Average_Arousal_US;St_dev_Arousal_US;Average_Arousal_JP;St_dev_Arousal_JP;Average_Health_ALL;St_dev_Health_ALL;Average_Health_UK;St_dev_Health_UK;Average_Health_US;St_dev_Health_US;Average_Health_JP;St._dev_Health_JP;Average_Desire_ALL;St_dev_Desire_ALL;Average_Desire_UK;St_dev_Desire_UK;Average_Desire_US;St_dev_Desire_US;Average_Desire_JP;St_dev_Desire_JP
548;Japanese rice cake wrapped with dried seaweed laver;Asian;3;Transformed;Savory;;Food;21.46;78.07.00;105.05.00;6.07;64.06.00;164.23.00;61.34.00;0.13;42.36.00;13.17;9.44;154.35.00;43.20.00;7.25;9.07;10.17;42.38.00;1596;138.59.00;80.48.00;62.17.00;23.35;44.38.00;27.12.00;39.35.00;27.16.00;37.03.00;29.4;56.38.00;19.36;39.47.00;26.17.00;34.35.00;26.48.00;37.06.00;29.32.00;47.29.00;19.54;48.09.00;21.16;44.08.00;28.42.00;50.28.00;18.36;50.38.00;12.58;37.41.00;28.47.00;27.21.00;23.04;33.15.00;30.53.00;53.32.00;25.34.00
549;Puffed cereal;Asian;Complex;Transformed;Savory;;Food;50.50.00;114.08.00;90.04.00;14.22;54.41.00;160.52.00;53.35.00;0.13;55.00.00;17.10;14.12;58.44.00;14.10;8.49;13.54;21.09;94.46.00;1701;132.39.00;94.58.00;57.04.00;14.38;35.24.00;22.45;34.56.00;23.14;33.24.00;22.17;38.45.00;22.4;29.34.00;21.03;28.22.00;21.16;29.34.00;23;31;19.29;48.13.00;23.15;42.12.00;19.24;50.39.00;23.34;52.34.00;27.22.00;26.05.00;24.08.00;24.19.00;24.14.00;25.05.00;23.28;30.14.00;24.42.00
550;Bean curd Szechwan style;Asian;Complex;Transformed;Savory;;Food;63.18.00;23.21;212.35.00;6.52;52.09.00;163.37.00;70.01.00;0.13;48.42.00;15.13;11.35;15.49;45.00.00;7.16;7.07;14.09;57.54.00;1864;115.36.00;72.35.00;55.44.00;38.21.00;48.55.00;26.49.00;33.16.00;22.38;50.08.00;27.16.00;61.04.00;23.25;43.14.00;27.55.00;29.23.00;22.15;43.56.00;27.17.00;55.21.00;27.5;50.53.00;21.53;48.17.00;22.02;53.36.00;23.01;49.27.00;20.26;43.18.00;30.27.00;22.38;22.15;43.46.00;29.37.00;61.12.00;25.03.00
551;Bean curd Szechwan style;Asian;Complex;Transformed;Savory;;Food;73.49.00;32.49.00;171.21.00;13.47;49.51.00;161.13.00;76.51.00;0.12;61.28.00;19.35;17.29;93.43.00;54.43.00;8.30;16.09;22.20;109.20.00;2296;160.15.00;91.55.00;58.06.00;16.39;44.8;28.14.00;25.37.00;21.09;42.41.00;24.15.00;66.48.00;21.37;42.05.00;29.09.00;22.12;18.33;37.38.00;25.35.00;65.36.00;23.59;47.57.00;23.14;40.03.00;25.18.00;48.41.00;20.11;54.39.00;21.38;38.11.00;32.44.00;17.03;19.27;33.35.00;30.29.00;63.45.00;28.04.00
552;Deep-fried chicken, gathered;Asian;Complex;Transformed;Savory;;Food;44.01.00;114.18.00;109.31.00;8.23;58.48.00;163.08.00;67.52.00;0.13;50.02.00;15.28;13.29;6.13;45.00.00;8.26;11.15;16.30;61.58.00;1389;63.57.00;86.52.00;57.40.00;22.08;48.11.00;26.39.00;36.24.00;27.33.00;47.31.00;23.36;60.01.00;24.22.00;44.18.00;25.7;32.59.00;25.6;42.53.00;22.14;57;24.17.00;25.34.00;16.33;22.47;15.22;21.24;14.16;31.3;17.08;45.28.00;30.43.00;32.28.00;30.24.00;41.09.00;27.19.00;61.15.00;28.17.00
553;Deep-fried chicken, spreaded;Asian;Complex;Transformed;Savory;;Food;51.28.00;161.35.00;178.30.00;9.44;53.20.00;162.39.00;79.39.00;0.12;55.51.00;17.56;15.55;48.46.00;49.43.00;9.53;13.42;17.11;75.04.00;1414;141.01.00;87.58.00;57.11.00;21.31;37.46.00;28;33.08.00;22.16;27.47.00;22.57;51.29.00;33.14.00;38.23.00;26.12.00;33.05.00;24.27.00;26.13.00;21.11;54.37.00;25.01.00;25.04.00;20.16;21.05;18.23;21.9;19.31;31.18.00;21.15;35.33.00;30.36.00;28.51.00;26.21.00;19.9;23.11;57.16.00;29.46.00
554;Grilled rice balls;Asian;1;Transformed;Savory;;Food;10.23;30.12.00;71.51.00;3.37;68.54.00;165.20.00;61.39.00;0.13;36.32.00;10.59;6.15;127.29.00;31.57.00;5.14;2.32;5.59;25.33.00;903;143.38.00;95.40.00;57.17.00;13.43;41.14.00;23.25;31.5;20.09;39.34.00;18.13;53.17.00;25.34.00;35.3;21.53;27.07.00;20.13;35.12.00;17.31;46.27.00;23.28;37.22.00;21.1;27.08.00;17.45;35.9;21.36;49;19.02;35.03.00;25.47.00;20.39;16.33;32.9;22.17;53.17.00;27.09.00
555;Grilled rice balls;Asian;1;Transformed;Savory;;Food;11.19;28.35.00;81.40.00;3.47;68.51.00;165.14.00;61.05.00;0.13;36.05.00;10.35;5.16;129.18.00;31.57.00;5.32;2.50;6.15;27.07.00;1033;59.17.00;93.03.00;58.17.00;15.20;38.02.00;25.01.00;28.11.00;22.15;32.14.00;22.35;53.36.00;24.12.00;33.05.00;24.39.00;20.41;18.5;28.24.00;24.12.00;48.16.00;22.03;36.8;21.16;29.56.00;21.43;32.27.00;18.7;48.39.00;19.19;32.37.00;27.09.00;20.21;19.59;26.55.00;25.28.00;49.33.00;27.37.00
556;Grilled rice balls;Asian;3;Transformed;Savory;;Food;30.18.00;99.16.00;91.33.00;6.43;60.13.00;164.03.00;74.02.00;0.13;44.47.00;14.09;10.47;159.52.00;25.00.00;8.01;7.11;11.25;47.38.00;1074;175.52.00;94.47.00;57.54.00;13.59;49.09.00;25.14.00;41.5;25.31.00;49.15.00;22.33;59.15.00;25.37.00;44.9;24.02.00;35.24.00;24.21.00;47.19.00;22.4;54.08.00;23.32;36.45.00;21.08;27.08.00;19.46;35.18.00;21.08;50.46.00;14.24;39.45.00;25.07.00;28.37.00;23.23;38.03.00;21.21;55.21.00;25.11.00
557;Grilled rice balls;Asian;3;Transformed;Savory;;Food;29.47.00;86.56.00;197.52.00;6.30;61.47.00;163.58.00;63.54.00;0.13;44.28.00;13.41;10.31;152.05.00;28.03.00;7.10;6.58;13.35;48.23.00;1263;110.06.00;92.28.00;58.58.00;15.14;48.8;22.1;45.06.00;21.22;42.37.00;21.44;60.15.00;20.38;44.24.00;25.07.00;37.31.00;22.03;35.3;23.19;61.03.00;21.29;37.35.00;21.09;28.09.00;18.7;30.5;18.04;53.09.00;17.46;45.11.00;27.35.00;35.31.00;25.07.00;35.57.00;25.06.00;64;22.09
